"function","uniqueOpcodes","totalInstructions","diversityRatio"
"https://mkg.com/data#register_tm_clones","9","14","0.642857142857142857142857"
"https://mkg.com/data#_start","7","12","0.583333333333333333333333"
"https://mkg.com/data#clientsConnected","14","25","0.56"
"https://mkg.com/data#__libc_csu_init","15","34","0.441176470588235294117647"
"https://mkg.com/data#fdgets","15","36","0.416666666666666666666667"
"https://mkg.com/data#make_socket_non_blocking","10","34","0.294117647058823529411765"
"https://mkg.com/data#trim","18","64","0.28125"
"https://mkg.com/data#titleWriter","12","44","0.272727272727272727272727"
"https://mkg.com/data#telnetListener","10","57","0.175438596491228070175439"
"https://mkg.com/data#broadcast","19","145","0.131034482758620689655172"
"https://mkg.com/data#main","17","139","0.122302158273381294964029"
"https://mkg.com/data#create_and_bind","12","99","0.121212121212121212121212"
"https://mkg.com/data#telnetWorker","18","162","0.111111111111111111111111"
"https://mkg.com/data#epollEventLoop","20","402","0.049751243781094527363184"
