"function","totalRelevantInst"
"https://mkg.com/data#epollEventLoop","97"
"https://mkg.com/data#telnetWorker","23"
"https://mkg.com/data#main","20"
"https://mkg.com/data#broadcast","18"
"https://mkg.com/data#trim","16"
"https://mkg.com/data#create_and_bind","12"
"https://mkg.com/data#clientsConnected","8"
"https://mkg.com/data#__libc_csu_init","7"
"https://mkg.com/data#fdgets","6"
"https://mkg.com/data#make_socket_non_blocking","5"
"https://mkg.com/data#register_tm_clones","5"
"https://mkg.com/data#titleWriter","4"
"https://mkg.com/data#_init","3"
"https://mkg.com/data#telnetListener","2"
