"function","totalRelevantInst"
"https://mkg.com/data#StartTheLelz","359"
"https://mkg.com/data#processCmd","102"
"https://mkg.com/data#main","88"
"https://mkg.com/data#print","78"
"https://mkg.com/data#sendUDP","62"
"https://mkg.com/data#sendTCP","54"
"https://mkg.com/data#sendHOLD","47"
"https://mkg.com/data#sendJUNK","43"
"https://mkg.com/data#readUntil","35"
"https://mkg.com/data#getRandomPublicIP","33"
"https://mkg.com/data#wildString","32"
"https://mkg.com/data#matchPrompt","31"
"https://mkg.com/data#printi","28"
"https://mkg.com/data#fdpopen","26"
"https://mkg.com/data#prints","25"
"https://mkg.com/data#getBogos","24"
"https://mkg.com/data#getOurIP","23"
"https://mkg.com/data#recvLine","23"
"https://mkg.com/data#connectTimeout","20"
"https://mkg.com/data#negotiate","20"
"https://mkg.com/data#trim","16"
"https://mkg.com/data#fdgets","13"
"https://mkg.com/data#fdpclose","13"
"https://mkg.com/data#initConnection","13"
"https://mkg.com/data#csum","10"
"https://mkg.com/data#init_rand","10"
"https://mkg.com/data#listFork","9"
"https://mkg.com/data#getCores","8"
"https://mkg.com/data#__libc_csu_init","7"
"https://mkg.com/data#makeRandomStr","6"
"https://mkg.com/data#parseHex","6"
"https://mkg.com/data#printchar","5"
"https://mkg.com/data#register_tm_clones","5"
"https://mkg.com/data#uppercase","5"
"https://mkg.com/data#getHost","4"
"https://mkg.com/data#sockprintf","4"
"https://mkg.com/data#zprintf","4"
"https://mkg.com/data#_init","3"
"https://mkg.com/data#deregister_tm_clones","3"
"https://mkg.com/data#sclose","3"
"https://mkg.com/data#szprintf","3"
